train_times,steps,reward,Q loss,update_QNet_times,G loss,update_G_times,D loss,update_D_times,W_D
430,778.3,-0.026495363691382577,983.2761215328641,54,-6.168275220548665,75,-1.8676997804947333,53,2.0882926432424123
435,778.3,-0.02786200920872391,1001.2036607581246,55,-6.096680909417293,75,-1.8611153118673847,53,2.0868828562233186
440,733.5,-0.011901170180488571,1029.9520498877632,56,-6.15588455175912,77,-1.8200353518262748,55,2.034315933823586
445,733.5,-0.006384894099680433,985.450537758043,57,-6.2583964393094735,78,-1.9885575675428158,56,2.22787590628465
450,701.8,0.003946075546649849,1112.7619967831083,58,-6.322776800151224,80,-1.9431823707661522,57,2.16546723154121
455,701.8,0.0053165620254518025,1033.18378023328,59,-6.458449621298326,81,-1.87465911239715,57,2.1271328546762467
460,679.5,0.011556836871828404,1071.5620141352576,60,-6.459375295074528,82,-1.91121700937382,57,2.165891020141708
465,679.5,0.014158466427454752,1024.46467821539,61,-6.489963900602052,83,-1.8237893619948895,58,2.0727279287364753
0,433.5,0.10230017646631262,nan,1,nan,1,nan,1,nan
5,616.75,0.03118627961215008,291.6797039286296,2,-9.069195344712998,2,-8.461253983974457,2,9.093168127271863
10,494.8333333333333,0.10514067904505943,661.5070556386312,3,-10.315627373589408,4,-3.0379092427632877,3,3.5176425162951146
15,571.125,0.0831373354334188,467.5778596157498,4,-9.218590987170183,4,-2.9893684035236086,3,3.679427436722649
20,616.9,0.06238686948803834,602.3971205520629,4,-9.758475918240016,5,-2.307453934858657,3,2.9210266737143193
25,647.4166666666666,0.04008682784606247,685.4628016255696,4,-10.09077815055847,6,-1.6329990486684776,3,2.179947255664401
30,669.2142857142857,0.028154231735819678,757.4839007144504,4,-10.34346123183215,7,-0.9343755890801551,3,1.4238064201672869
35,685.5625,0.023495069180813996,796.9992046174549,4,-10.503385157055323,8,-0.6734576225943038,3,1.1290670732467891
40,698.2777777777778,0.01727962329176152,825.8480914243062,4,-10.61866369313664,9,-0.5226248942977854,3,0.9556236944595969
45,708.45,0.016411753971219925,848.1386553446451,4,-10.711228586126257,10,-0.27093534361985006,3,0.6872202010802277
50,745.1,0.003179756478867344,862.9523015289308,4,-10.77896974351671,11,-0.2550287631079556,3,0.6551217423015168
55,745.1,0.0054363648464197615,933.7924474487305,4,-11.006486476262412,12,0.6445196165914336,4,-0.2757015207608541
60,752.9,-0.006816493019196212,934.2282919311523,5,-10.984963191880121,14,0.30481315306491313,6,0.05530174403720432
65,752.9,-0.010518985039646215,934.2049860799152,6,-11.035644174045988,14,0.3417392434722847,7,-0.04389227133856877
70,752.9,-0.012350337469250483,931.1141662963867,6,-11.013162016762628,15,0.4543039519237147,7,-0.1876743179215326
75,752.5,-0.00462383563378959,937.643814449056,7,-11.004917147318523,17,0.38451231574151246,9,-0.13841861886978152
80,752.5,0.0036509450675228498,922.7571239379882,8,-10.944579179445903,19,0.24333035415957366,10,-0.011814623917473644
85,752.5,0.001413588808239076,918.2566934366862,8,-10.900970677693685,20,0.012791146354211613,11,0.1980419248686896
90,752.5,0.00100762789328383,919.1851848714192,8,-10.868614976565045,21,0.013053812770359153,11,0.1720404923968845
95,752.5,-0.004805140902067564,921.7055004842123,8,-10.834069043159486,22,-0.07658789672821045,11,0.23918585143619114
100,752.5,-0.002086252729785326,927.418557796224,8,-10.806551364686754,23,0.05865444110815612,11,0.08221309425565933
105,752.5,-0.003685293936905144,930.6284249633788,8,-10.782363182597692,24,0.003915200383717905,12,0.10885341577529903
110,758.4,-0.002141423093777006,936.169927364095,9,-10.768849006652832,26,0.1130051137115857,14,-0.020334688430362288
115,758.4,-0.0031090405876872907,940.5915503641763,10,-10.842481214735242,26,-0.020966909147669723,15,0.08228286695480343
120,758.4,-0.0006282363389483808,944.2105480244954,10,-10.839395133124459,27,-0.020673423431063608,15,0.07890881983439127
125,758.8,-0.003734269154470141,935.6898046162923,10,-10.809459104008145,28,0.05623808033839376,15,0.00023797538545398123
130,758.8,-0.012011270888616102,932.7335052591961,10,-10.804651748869155,29,0.047587383311785025,15,0.007772993352678115
135,758.8,-0.007842599929516197,936.9078617045086,11,-10.824828759829202,31,0.2674389724898306,16,-0.2099494739638434
